"PK_DEPT","PK_CORP","DEPTNAME"
"571F2F60-B64F-11E3-A329-ABC4259D082C","26F79860-1A85-11E3-9860-D2A88FA7BD89","郴州运营部"
"48171230-B64F-11E3-A329-DDEA97B7941A","26F79860-1A85-11E3-9860-D2A88FA7BD89","长沙运营部"
"61C1F6A0-B64F-11E3-A329-8D420F224C76","26F79860-1A85-11E3-9860-D2A88FA7BD89","邵阳运营部"
"73BB6760-B64F-11E3-A329-CE9551ADAB04","26F79860-1A85-11E3-9860-D2A88FA7BD89","湘潭运营部"
"80CEB970-B64F-11E3-A329-ECB2F62F2DD2","26F79860-1A85-11E3-9860-D2A88FA7BD89","常德运营部"
"8AE98C00-B64F-11E3-A329-893EFC2970E7","26F79860-1A85-11E3-9860-D2A88FA7BD89","广东运营部"
"DC035710-4A00-11E5-9710-B55DDD5D3D06","26F79860-1A85-11E3-9860-D2A88FA7BD89","调离人员"
"5340BB40-1A94-11E3-BB40-CD0103D3B47F","26F79860-1A85-11E3-9860-D2A88FA7BD89","无比酒厂本部"
"0C132E70-B976-11E3-A329-EDB2731210D3","26F79860-1A85-11E3-9860-D2A88FA7BD89","销售公司本部"
"17FF1110-7DDB-11E5-A41F-9E912D6B7581","26F79860-1A85-11E3-9860-D2A88FA7BD89","常德华业"
"9AB0BD00-BC48-11E6-A6CE-F47608038348","26F79860-1A85-11E3-9860-D2A88FA7BD89","拓展运营部"
"46CB1690-4197-11E5-9690-A66749F90EFF","26F79860-1A85-11E3-9860-D2A88FA7BD89","湘潭成功人"
"36B094D0-BC4B-11E6-A6CE-E42ADC495B1E","26F79860-1A85-11E3-9860-D2A88FA7BD89","无比客户代管"
"7EEBF910-0508-11E6-A9BE-980344C684B6","26F79860-1A85-11E3-9860-D2A88FA7BD89","武冈副食"
"A12627A0-81EE-11E5-A41F-A5C216063CAD","26F79860-1A85-11E3-9860-D2A88FA7BD89","邵阳腾飞"
"5737F4B0-F188-11E6-BE30-8DD924E4C8CF","26F79860-1A85-11E3-9860-D2A88FA7BD89","新邵大家福"
"6D356180-F188-11E6-BE30-DC7A787E674A","26F79860-1A85-11E3-9860-D2A88FA7BD89","新宁华泰"
"7A21F1B0-F188-11E6-BE30-EEBDF082E522","26F79860-1A85-11E3-9860-D2A88FA7BD89","邵阳县八达"
"C0831810-6B63-11E6-BB0F-824D8B135592","26F79860-1A85-11E3-9860-D2A88FA7BD89","衡东家旺"
"7BE2D7F0-BC48-11E6-A6CE-FD8231C09D54","26F79860-1A85-11E3-9860-D2A88FA7BD89","长沙顺泽"
